text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"Foreign object in eye from grinding debris On 07 January 2025 at 22:58, an incident occurred at Dockyard South. The incident was reported by Jamie Lewis. Quinn Smith from the Customer Service department was involved. Structural collapse in dry dock due to improper maintenance."
"Harper Fisher from the Dockyard Operations department was involved. On 27 April 2025 at 18:45, an incident occurred at Warehouse A. The incident was reported by Emerson Pearson. Chemical burn from solvent exposure Structural collapse in dry dock due to improper maintenance."
"The incident was reported by Skyler Smith. Dislocated shoulder during equipment maintenance On 27 May 2025 at 10:28, an incident occurred at Cafeteria. Jordan Morgan from the HR department was involved. grinder failure caused electrical fire to dry dock floor."
"Electric shock from faulty wiring Kai Davis from the Finance department was involved. Oil spill contaminated dock area. The incident was reported by Charlie Sullivan. On 16 August 2024 at 13:03, an incident occurred at Paint Shop."
"Elliot West from the Communications department was involved. Laceration from sharp metal panel Structural collapse in dry dock due to corrosion. On 10 June 2024 at 20:25, an incident occurred at Fuel Depot. The incident was reported by Cameron Sullivan."
"Emerson Holmes from the Quality Assurance department was involved. Hydraulic fluid spill contaminated dock area. The incident was reported by Jordan Clark. Trip hazard fall resulting in bruising On 15 January 2025 at 00:25, an incident occurred at Dockyard North."
"Foreign object in eye from grinding debris The incident was reported by Jesse Pearson. Structural collapse in dry dock due to corrosion. On 30 August 2024 at 20:50, an incident occurred at Cafeteria. Sydney West from the Procurement department was involved."
"The incident was reported by Cameron Bailey. On 02 March 2024 at 00:02, an incident occurred at Fleet Garage. Chemicals spill contaminated dock area. Severe abrasion from slip on deck Sawyer Brown from the HR department was involved."
"Heat exhaustion from prolonged outdoor work The incident was reported by Sydney Mitchell. Drew West from the IT department was involved. Chemicals spill contaminated dock area. On 20 March 2025 at 00:00, an incident occurred at Fleet Garage."
"On 21 March 2025 at 16:25, an incident occurred at Dockyard South. Jamie Morgan from the Quality Assurance department was involved. Chemical burn from solvent exposure grinder failure caused electrical fire to dry dock floor. The incident was reported by Casey Bailey."
"On 04 May 2025 at 23:16, an incident occurred at Warehouse B. Puncture wound from misplaced tool Finley Johnson from the Legal department was involved. grinder failure caused a fuel leak to storage area. The incident was reported by Peyton Fisher."
"On 28 December 2024 at 07:59, an incident occurred at Cafeteria. Drew Payne from the IT department was involved. Trip hazard fall resulting in bruising forklift failure caused a steel beam to drop to storage area. The incident was reported by Charlie Brown."
"Structural collapse in pier due to corrosion. On 06 January 2024 at 06:57, an incident occurred at Reception Area. Dislocated shoulder during equipment maintenance Peyton Graham from the Dockyard Operations department was involved. The incident was reported by Finley Davis."
"Dislocated shoulder during equipment maintenance Jamie West from the Customer Service department was involved. The incident was reported by Alex Holmes. crane failure caused a steel beam to drop to storage area. On 05 April 2025 at 11:24, an incident occurred at Paint Shop."
"Oil spill contaminated engine room. Trip hazard fall resulting in bruising The incident was reported by Kai Foster. On 03 July 2025 at 01:38, an incident occurred at Warehouse B. Cameron Hughes from the Engineering department was involved."
"On 23 January 2025 at 16:02, an incident occurred at Dockyard North. The incident was reported by Alex Mitchell. forklift failure caused electrical fire to storage area. Eye irritation from chemical fumes Riley Foster from the IT department was involved."
"Structural collapse in pier due to improper maintenance. Severe abrasion from slip on deck Drew Fisher from the Ship Maintenance department was involved. On 27 August 2024 at 06:24, an incident occurred at Fuel Depot. The incident was reported by Kai Ward."
"The incident was reported by Jamie Sullivan. On 12 August 2025 at 08:18, an incident occurred at Tool Crib. grinder failure caused a steel beam to drop to ship propeller. Eye irritation from chemical fumes Harper Parker from the Procurement department was involved."
"The incident was reported by Avery Reed. On 28 October 2024 at 05:39, an incident occurred at Shipyard Pier. Finley Bennett from the Training & Development department was involved. Smoke inhalation from fire in electrical bay crane failure caused a fuel leak to storage area."
"Elliot Pearson from the Facilities department was involved. Trip hazard fall resulting in bruising On 21 April 2025 at 20:55, an incident occurred at Maintenance Shed. The incident was reported by Charlie Graham. forklift failure caused electrical fire to ship propeller."
"On 11 January 2024 at 17:57, an incident occurred at Fleet Garage. Burn from hot welding equipment The incident was reported by Peyton Graham. Peyton Walker from the Environmental Services department was involved. Chemicals spill contaminated dock area."
"Morgan Sullivan from the Security department was involved. Burn from hot welding equipment The incident was reported by Casey Sullivan. Structural collapse in pier due to corrosion. On 04 March 2024 at 13:22, an incident occurred at Fuel Depot."
"On 18 June 2025 at 19:23, an incident occurred at Maintenance Shed. Minor cuts and bruises The incident was reported by Peyton Graham. forklift failure caused a fuel leak to dry dock floor. Cameron Allen from the HR department was involved."
"On 17 February 2024 at 10:22, an incident occurred at Shipyard Pier. Rowan Smith from the Research & Development department was involved. Structural collapse in dry dock due to improper maintenance. Back strain from improper lifting The incident was reported by Riley Holmes."
"Skyler Bennett from the IT department was involved. On 09 July 2024 at 09:04, an incident occurred at Training Room. Fractured wrist from fall on wet surface Structural collapse in shipyard warehouse due to improper maintenance. The incident was reported by Reese Morgan."
"On 13 August 2024 at 18:26, an incident occurred at Engineering Workshop. Chemical burn from solvent exposure The incident was reported by Casey Reed. Rowan Ward from the Training & Development department was involved. Structural collapse in shipyard warehouse due to overload."
"On 21 February 2024 at 04:27, an incident occurred at Main Gate Security. The incident was reported by Logan Sullivan. Morgan Morgan from the Operations department was involved. Compressed air injury during maintenance Structural collapse in shipyard warehouse due to corrosion."
"Foreign object in eye from grinding debris Structural collapse in shipyard warehouse due to improper maintenance. The incident was reported by Avery Morgan. On 27 September 2024 at 04:41, an incident occurred at Dockyard South. Harper Walker from the Training & Development department was involved."
"Oil spill contaminated engine room. Compressed air injury during maintenance The incident was reported by Quinn Bennett. Kai Foster from the IT department was involved. On 12 June 2025 at 14:31, an incident occurred at Engineering Workshop."
"The incident was reported by Sydney Fisher. On 22 April 2024 at 19:24, an incident occurred at Dockyard South. Skyler Hughes from the Finance department was involved. Trip hazard fall resulting in bruising Structural collapse in dry dock due to overload."
"On 22 July 2025 at 21:20, an incident occurred at Dockyard South. Cameron Brown from the Dockyard Operations department was involved. Dislocated shoulder during equipment maintenance The incident was reported by Frankie Murphy. Hydraulic fluid spill contaminated paint shop."
"On 04 September 2024 at 08:29, an incident occurred at Office - Admin Block. Electric shock from faulty wiring Alex Allen from the Communications department was involved. Oil spill contaminated dock area. The incident was reported by Riley Pearson."
